_id,name,role,email,password,createdAt,updatedAt,__v,isAdmin,chartData
5e236763effc9f5547472fbb,Scott,author,gesilenir@odu.de,password,09/27/2020,12/03/1906,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Fred,author,mim@ratek.er,password,08/25/2011,08/23/1949,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Duane,author,zu@gif.ua,password,05/06/2056,08/03/1949,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Paul,author,fela@towwofel.mw,password,09/18/2013,04/14/2027,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Jeffery,author,secrewsot@paat.mw,password,11/21/1979,09/04/2009,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Hunter,author,piog@ersabi.th,password,03/10/2022,10/10/1989,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Tillie,author,tekcov@icwopug.dj,password,10/03/1950,09/15/1941,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Brandon,author,rowoh@num.ci,password,05/06/2060,05/16/1976,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Lawrence,author,bewjul@kejpove.so,password,04/09/2047,06/16/2002,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
5e236763effc9f5547472fbb,Esther,author,mablahib@vifal.eu,password,02/11/1975,05/21/1958,0,false,"{""sales"":77.3218207903042,""expenses"":13.648400212189804,""profit"":28.94856995173285}"
